Amplicon	Cpos	Gpos	001-A1-2531.cov	001-A1-2531.ratio	002-B1-930.cov	002-B1-930.ratio	003-C1-2184.cov	003-C1-2184.ratio	004-D1-1814.cov	004-D1-1814.ratio	005-E1-539.cov	005-E1-539.ratio	006-F1-1607.cov	006-F1-1607.ratio	007-G1-2467.cov	007-G1-2467.ratio	008-H1-1622.cov	008-H1-1622.ratio	009-A2-1962.cov	009-A2-1962.ratio	010-B2-1398.cov	010-B2-1398.ratio	011-C2-2265.cov	011-C2-2265.ratio	012-D2-1608.cov	012-D2-1608.ratio	013-E2-2124.cov	013-E2-2124.ratio	014-F2-1366.cov	014-F2-1366.ratio	015-G2-2649.cov	015-G2-2649.ratio	016-H2-1314.cov	016-H2-1314.ratio	017-A3-1393.cov	017-A3-1393.ratio	018-B3-2148.cov	018-B3-2148.ratio	019-C3-948.cov	019-C3-948.ratio	020-D3-2387.cov	020-D3-2387.ratio	021-E3-903.cov	021-E3-903.ratio	022-F3-2398.cov	022-F3-2398.ratio	023-G3-1747.cov	023-G3-1747.ratio	024-H3-2109.cov	024-H3-2109.ratio	025-A4-2427.cov	025-A4-2427.ratio	026-B4-1767.cov	026-B4-1767.ratio	027-C4-2520.cov	027-C4-2520.ratio	028-D4-1895.cov	028-D4-1895.ratio	029-E4-993.cov	029-E4-993.ratio	030-F4-1721.cov	030-F4-1721.ratio	031-G4-1220.cov	031-G4-1220.ratio	032-H4-2560.cov	032-H4-2560.ratio	033-A5-1365.cov	033-A5-1365.ratio	034-B5-1217.cov	034-B5-1217.ratio	035-C5-2349.cov	035-C5-2349.ratio	036-D5-1650.cov	036-D5-1650.ratio	037-E5-1342.cov	037-E5-1342.ratio	038-F5-462.cov	038-F5-462.ratio	039-G5-2288.cov	039-G5-2288.ratio	040-H5-996.cov	040-H5-996.ratio	041-A6-2272.cov	041-A6-2272.ratio	042-B6-2128.cov	042-B6-2128.ratio	043-C6-579.cov	043-C6-579.ratio	044-D6-1618.cov	044-D6-1618.ratio	045-E6-1923.cov	045-E6-1923.ratio	046-F6-1362.cov	046-F6-1362.ratio	047-G6-584.cov	047-G6-584.ratio	048-H6-1275.cov	048-H6-1275.ratio	049-A7-1616.cov	049-A7-1616.ratio	050-B7-2091.cov	050-B7-2091.ratio	051-C7-2011.cov	051-C7-2011.ratio	052-D7-2497.cov	052-D7-2497.ratio	053-E7-529.cov	053-E7-529.ratio	054-F7-982.cov	054-F7-982.ratio	055-G7-1908.cov	055-G7-1908.ratio	056-H7-1823.cov	056-H7-1823.ratio	057-A8-997.cov	057-A8-997.ratio	058-B8-1617.cov	058-B8-1617.ratio	059-C8-1606.cov	059-C8-1606.ratio	060-D8-2465.cov	060-D8-2465.ratio	061-E8-1623.cov	061-E8-1623.ratio	062-F8-1605.cov	062-F8-1605.ratio	063-G8-1361.cov	063-G8-1361.ratio	064-H8-2575.cov	064-H8-2575.ratio	065-A9-580.cov	065-A9-580.ratio	066-B9-783.cov	066-B9-783.ratio	067-C9-955.cov	067-C9-955.ratio	068-D9-2287.cov	068-D9-2287.ratio	069-E9-888.cov	069-E9-888.ratio	070-F9-1806.cov	070-F9-1806.ratio	071-G9-2046.cov	071-G9-2046.ratio	072-H9-2132.cov	072-H9-2132.ratio	073-A10-2608.cov	073-A10-2608.ratio	074-B10-2293.cov	074-B10-2293.ratio	075-C10-894.cov	075-C10-894.ratio	076-D10-2315.cov	076-D10-2315.ratio	077-E10-2395.cov	077-E10-2395.ratio	078-F10-2390.cov	078-F10-2390.ratio	079-G10-1919.cov	079-G10-1919.ratio	080-H10-2505.cov	080-H10-2505.ratio	081-A11-985.cov	081-A11-985.ratio	082-B11-1728.cov	082-B11-1728.ratio	083-C11-1283.cov	083-C11-1283.ratio	084-D11-2606.cov	084-D11-2606.ratio	085-E11-1402.cov	085-E11-1402.ratio	086-F11-417.cov	086-F11-417.ratio	087-G11-1922.cov	087-G11-1922.ratio	088-H11-2172.cov	088-H11-2172.ratio	089-A12-1858.cov	089-A12-1858.ratio	090-B12-2111.cov	090-B12-2111.ratio	091-C12-0M.cov	091-C12-0M.ratio	092-D12-1M.cov	092-D12-1M.ratio	093-E12-25M.cov	093-E12-25M.ratio	094-F12-50M.cov	094-F12-50M.ratio	095-G12-75M.cov	095-G12-75M.ratio	096-H12-100M.cov	096-H12-100M.ratio
lethal_CCDC67::chr11:93063575-93063634	54	56	60265	42.89	53264	45.12	63893	29.73	78250	65.78	52903	46.78	57584	37.29	108188	29.18	53727	34.76	83443	10.74	59217	71.07	75054	17.16	113662	18.18	57996	14.31	71800	23.31	71618	21.80	78035	 2.46	111921	67.33	83156	65.10	56229	14.86	118801	51.42	81878	14.78	75491	71.27	79904	 2.83	119607	51.66	119304	16.53	82327	21.77	90179	27.48	81448	22.15	76973	68.20	46227	65.73	66359	34.30	71066	58.18	71294	39.01	82834	 1.08	48790	32.16	75363	14.52	67193	55.96	57482	74.52	72460	23.64	72266	40.98	83207	57.15	49587	 1.47	55958	42.64	68038	49.80	57685	42.13	118648	 1.86	91354	16.29	84141	31.01	84903	21.45	92475	 1.21	105632	33.33	58888	 5.14	64030	 5.14	102881	 9.96	88552	25.06	74172	39.14	41315	15.89	62544	18.48	71391	13.00	54873	51.96	74196	13.01	67312	 6.27	54352	59.99	69247	 2.30	135489	20.45	78533	20.22	78860	38.61	60370	67.26	120626	17.67	93966	32.45	146584	 3.09	65880	41.50	48433	48.49	114912	28.35	65246	 1.18	64337	17.44	82939	22.01	53864	27.94	69919	 4.15	71596	24.45	37492	42.42	37586	19.26	46212	 1.44	47436	12.17	36164	12.56	43139	 5.43	100695	28.29	124608	68.37	96819	49.12	60962	45.09	215657	 0.57	213050	 0.88	147632	25.19	171864	49.11	147105	73.98	182403	95.78
lethal_CCDC67::chr11:93063575-93063634	56	58	60265	44.09	53264	49.88	63893	30.26	78250	64.80	52903	48.65	57584	40.59	108188	30.78	53727	35.05	83443	14.94	59217	70.98	75054	17.86	113662	26.22	57996	16.07	71800	25.83	71618	22.37	78035	 2.93	111921	67.17	83156	65.09	56229	17.50	118801	50.80	81878	16.05	75491	71.87	79904	 4.14	119607	51.26	119304	19.52	82327	24.25	90179	29.42	81448	24.59	76973	68.77	46227	66.34	66359	33.14	71066	59.25	71294	42.32	82834	 1.08	48790	41.17	75363	16.82	67193	55.91	57482	73.86	72460	24.42	72266	38.37	83207	48.87	49587	 1.82	55958	43.32	68038	49.65	57685	42.26	118648	 2.16	91354	16.25	84141	32.72	84903	23.43	92475	 2.43	105632	46.58	58888	 6.76	64030	 7.33	102881	10.45	88552	27.85	74172	39.81	41315	17.38	62544	16.89	71391	12.23	54873	51.29	74196	12.42	67312	 5.03	54352	60.01	69247	 3.95	135489	28.56	78533	20.56	78860	39.21	60370	67.69	120626	17.66	93966	33.52	146584	 2.99	65880	44.13	48433	49.97	114912	29.24	65246	 1.50	64337	21.68	82939	21.26	53864	28.29	69919	 3.15	71596	30.83	37492	43.71	37586	21.37	46212	 1.43	47436	12.46	36164	13.64	43139	 8.57	100695	28.03	124608	69.35	96819	47.31	60962	47.29	215657	 0.47	213050	 0.84	147632	24.26	171864	50.09	147105	73.96	182403	96.74
lethal_CD34::chr1:208132591-208132654	-2	0	22803	42.43	34042	80.11	44056	83.31	46471	64.04	37443	31.37	39997	87.23	62823	76.42	23777	52.49	34534	65.65	40606	82.19	41262	26.49	54840	67.91	23647	35.27	40223	37.34	35247	52.99	25675	 4.32	59274	83.21	48237	70.67	25981	64.59	69618	70.79	35535	39.63	43957	84.57	27339	29.59	41232	53.76	47324	63.11	38826	50.48	31526	10.70	49872	60.02	63352	79.23	31628	78.42	45898	76.84	44770	84.44	42672	81.57	39333	79.30	31541	63.22	43365	69.60	52504	80.43	49113	76.43	41770	60.22	42607	56.94	44771	61.37	20879	39.14	30288	53.95	41910	37.00	44109	54.60	40694	16.57	36981	57.53	48689	62.75	41110	35.46	35106	33.75	69857	76.81	29155	48.86	26392	16.40	52690	77.86	44947	45.04	45935	68.23	21037	56.56	39018	66.71	42070	41.16	33787	54.45	29044	 0.86	28292	46.96	30688	77.64	30348	30.84	66137	68.38	39507	39.73	34383	19.68	36494	77.65	67557	44.63	57839	74.89	43154	17.86	49061	52.17	35056	60.57	52577	60.00	41127	68.26	32603	27.24	35719	31.13	27534	47.44	35932	 1.44	48803	68.23	31383	60.79	12978	31.71	19970	23.95	21956	21.60	22278	20.51	24040	 1.78	41777	53.00	87873	83.79	50702	73.24	41686	62.59	20281	 0.13	20915	 0.49	20437	23.36	30150	65.64	22181	82.99	29285	99.54
lethal_CD34::chr1:208132591-208132654	0	2	22803	41.58	34042	78.86	44056	84.42	46471	63.58	37443	31.15	39997	85.79	62823	76.62	23777	52.63	34534	65.62	40606	81.64	41262	27.56	54840	67.47	23647	35.16	40223	38.02	35247	52.84	25675	 1.36	59274	81.10	48237	69.41	25981	56.74	69618	70.36	35535	36.82	43957	82.76	27339	24.29	41232	45.25	47324	63.26	38826	49.51	31526	 8.92	49872	60.47	63352	76.73	31628	76.76	45898	75.48	44770	83.29	42672	82.10	39333	79.31	31541	62.53	43365	67.62	52504	74.71	49113	76.96	41770	58.97	42607	58.42	44771	61.71	20879	39.00	30288	52.36	41910	39.08	44109	64.73	40694	14.82	36981	56.68	48689	61.49	41110	35.65	35106	29.80	69857	74.32	29155	47.58	26392	16.54	52690	73.03	44947	45.31	45935	67.13	21037	55.55	39018	65.72	42070	39.19	33787	53.05	29044	 1.35	28292	45.56	30688	77.90	30348	28.41	66137	58.51	39507	38.32	34383	20.33	36494	77.77	67557	40.38	57839	75.36	43154	12.19	49061	50.31	35056	59.02	52577	61.94	41127	66.91	32603	30.91	35719	30.98	27534	48.32	35932	 0.95	48803	67.82	31383	59.08	12978	27.52	19970	23.98	21956	16.72	22278	20.77	24040	 1.06	41777	50.25	87873	81.70	50702	72.25	41686	63.49	20281	 0.13	20915	 1.53	20437	23.44	30150	66.88	22181	82.66	29285	97.71
lethal_CD34::chr1:208132591-208132654	8	10	22803	42.83	34042	81.38	44056	84.21	46471	65.14	37443	31.31	39997	88.78	62823	76.85	23777	53.38	34534	67.54	40606	82.65	41262	27.89	54840	68.67	23647	37.11	40223	37.24	35247	53.82	25675	 4.78	59274	80.76	48237	69.07	25981	66.33	69618	69.05	35535	41.53	43957	83.59	27339	30.55	41232	55.24	47324	70.59	38826	49.10	31526	12.39	49872	61.20	63352	78.90	31628	76.42	45898	75.52	44770	82.69	42672	80.76	39333	78.36	31541	64.54	43365	68.41	52504	82.45	49113	75.53	41770	60.03	42607	54.11	44771	60.54	20879	39.37	30288	54.34	41910	42.36	44109	64.83	40694	17.42	36981	57.97	48689	62.92	41110	34.49	35106	35.93	69857	76.65	29155	48.83	26392	17.45	52690	76.17	44947	44.97	45935	68.18	21037	59.64	39018	65.85	42070	38.69	33787	53.68	29044	 2.00	28292	45.06	30688	78.30	30348	23.49	66137	69.69	39507	40.65	34383	24.62	36494	75.48	67557	42.68	57839	76.27	43154	19.99	49061	55.47	35056	60.06	52577	62.31	41127	68.49	32603	31.43	35719	32.12	27534	47.43	35932	 3.40	48803	68.36	31383	61.11	12978	33.66	19970	25.47	21956	19.38	22278	19.74	24040	 1.13	41777	52.45	87873	82.10	50702	73.39	41686	62.25	20281	 0.15	20915	 0.18	20437	23.51	30150	66.96	22181	78.77	29285	97.19
lethal_CD34::chr1:208132591-208132654	23	25	22803	42.80	34042	77.86	44056	83.30	46471	61.71	37443	31.84	39997	82.81	62823	79.25	23777	55.61	34534	64.99	40606	82.63	41262	27.90	54840	65.05	23647	33.87	40223	37.96	35247	51.67	25675	 3.44	59274	82.74	48237	70.81	25981	51.16	69618	70.69	35535	36.51	43957	85.10	27339	24.81	41232	54.29	47324	62.95	38826	45.72	31526	 9.56	49872	60.13	63352	79.41	31628	79.09	45898	76.69	44770	84.23	42672	80.61	39333	79.98	31541	63.34	43365	67.81	52504	78.08	49113	76.10	41770	60.67	42607	56.11	44771	60.28	20879	39.48	30288	54.26	41910	38.72	44109	52.42	40694	15.21	36981	57.21	48689	62.51	41110	34.10	35106	28.57	69857	70.24	29155	49.09	26392	14.33	52690	76.06	44947	44.54	45935	68.25	21037	54.29	39018	67.20	42070	40.29	33787	51.87	29044	 1.71	28292	45.03	30688	76.26	30348	26.89	66137	43.28	39507	36.64	34383	20.38	36494	78.20	67557	43.22	57839	73.79	43154	13.46	49061	55.14	35056	61.28	52577	61.95	41127	68.18	32603	27.22	35719	29.54	27534	49.10	35932	 1.02	48803	68.56	31383	59.10	12978	28.46	19970	24.89	21956	16.74	22278	19.31	24040	 0.89	41777	51.92	87873	82.19	50702	72.95	41686	63.77	20281	 0.24	20915	 0.23	20437	23.44	30150	65.70	22181	83.11	29285	98.18
lethal_CD34::chr1:208132591-208132654	25	27	22803	43.24	34042	79.13	44056	84.20	46471	63.48	37443	31.72	39997	85.99	62823	77.05	23777	56.02	34534	66.11	40606	82.46	41262	28.58	54840	69.80	23647	34.73	40223	38.45	35247	52.90	25675	 4.09	59274	82.29	48237	70.51	25981	58.33	69618	71.52	35535	39.98	43957	85.09	27339	28.58	41232	51.12	47324	63.33	38826	50.96	31526	10.20	49872	59.93	63352	79.62	31628	76.81	45898	76.93	44770	83.24	42672	82.84	39333	79.99	31541	61.65	43365	69.66	52504	79.04	49113	76.57	41770	59.91	42607	53.85	44771	61.41	20879	39.42	30288	52.88	41910	38.84	44109	53.98	40694	17.30	36981	56.24	48689	62.31	41110	35.31	35106	32.59	69857	75.53	29155	48.97	26392	16.74	52690	77.46	44947	46.17	45935	67.17	21037	58.04	39018	66.96	42070	40.22	33787	55.20	29044	 1.22	28292	46.21	30688	77.99	30348	23.57	66137	57.65	39507	40.06	34383	22.11	36494	76.84	67557	46.50	57839	76.07	43154	13.95	49061	56.15	35056	59.07	52577	62.41	41127	68.39	32603	25.43	35719	30.77	27534	48.45	35932	 2.16	48803	68.34	31383	61.29	12978	33.27	19970	25.89	21956	15.16	22278	20.72	24040	 1.84	41777	53.42	87873	81.89	50702	71.91	41686	63.19	20281	 0.27	20915	 0.27	20437	23.47	30150	66.89	22181	82.53	29285	95.58
lethal_CD34::chr1:208132591-208132654	28	30	22803	43.33	34042	80.23	44056	82.86	46471	63.97	37443	30.83	39997	83.92	62823	79.00	23777	54.42	34534	65.04	40606	81.54	41262	28.89	54840	70.75	23647	35.17	40223	37.16	35247	53.20	25675	 3.90	59274	82.34	48237	70.81	25981	54.71	69618	70.63	35535	38.32	43957	84.63	27339	27.49	41232	47.46	47324	60.72	38826	51.08	31526	10.03	49872	62.86	63352	78.69	31628	78.02	45898	78.39	44770	84.63	42672	81.17	39333	80.69	31541	63.82	43365	66.99	52504	79.85	49113	76.39	41770	60.44	42607	55.06	44771	60.01	20879	39.05	30288	54.65	41910	36.68	44109	59.32	40694	14.43	36981	58.19	48689	63.11	41110	35.58	35106	29.76	69857	74.48	29155	49.04	26392	15.73	52690	75.69	44947	44.57	45935	68.00	21037	57.67	39018	65.93	42070	40.87	33787	54.02	29044	 1.66	28292	46.85	30688	78.10	30348	19.51	66137	54.68	39507	40.09	34383	20.74	36494	77.76	67557	43.89	57839	75.99	43154	12.50	49061	56.84	35056	61.29	52577	61.63	41127	67.70	32603	26.85	35719	31.42	27534	49.13	35932	 2.07	48803	68.62	31383	59.75	12978	31.19	19970	24.60	21956	15.01	22278	20.19	24040	 0.80	41777	50.61	87873	83.11	50702	71.75	41686	62.51	20281	 0.59	20915	 0.22	20437	21.65	30150	66.97	22181	82.03	29285	95.56
lethal_CD34::chr1:208132591-208132654	53	55	22803	42.84	34042	79.06	44056	82.45	46471	64.64	37443	32.42	39997	86.63	62823	79.06	23777	54.95	34534	65.38	40606	82.96	41262	25.95	54840	72.46	23647	35.79	40223	37.09	35247	53.04	25675	 4.02	59274	81.63	48237	70.32	25981	64.66	69618	71.11	35535	39.68	43957	84.86	27339	29.05	41232	50.81	47324	66.12	38826	48.63	31526	12.91	49872	61.55	63352	78.37	31628	78.07	45898	76.74	44770	83.91	42672	81.20	39333	78.97	31541	63.75	43365	67.57	52504	80.86	49113	76.62	41770	61.06	42607	55.50	44771	61.22	20879	39.21	30288	54.91	41910	37.61	44109	61.73	40694	17.73	36981	56.95	48689	61.20	41110	34.41	35106	32.56	69857	76.54	29155	48.85	26392	16.79	52690	78.03	44947	45.52	45935	67.86	21037	59.66	39018	66.91	42070	40.90	33787	54.53	29044	 1.62	28292	46.39	30688	77.63	30348	27.72	66137	62.29	39507	39.53	34383	20.68	36494	76.68	67557	46.91	57839	74.54	43154	15.80	49061	54.85	35056	61.50	52577	61.85	41127	66.96	32603	28.32	35719	31.00	27534	47.27	35932	 3.61	48803	67.97	31383	60.59	12978	32.16	19970	25.09	21956	17.81	22278	21.04	24040	 1.76	41777	51.46	87873	82.43	50702	72.94	41686	62.15	20281	 0.25	20915	 0.23	20437	23.47	30150	65.59	22181	80.24	29285	95.10
lethal_CD34::chr1:208132591-208132654	57	59	22803	42.57	34042	80.38	44056	83.47	46471	65.08	37443	31.52	39997	87.52	62823	76.96	23777	55.57	34534	65.67	40606	79.98	41262	26.78	54840	67.45	23647	35.68	40223	38.36	35247	53.09	25675	 5.22	59274	81.21	48237	69.88	25981	67.86	69618	71.58	35535	40.47	43957	84.33	27339	30.60	41232	56.73	47324	68.44	38826	50.34	31526	12.67	49872	60.70	63352	78.19	31628	76.50	45898	76.66	44770	83.76	42672	81.52	39333	78.84	31541	65.08	43365	67.31	52504	81.17	49113	77.54	41770	59.23	42607	55.61	44771	58.58	20879	39.26	30288	54.36	41910	37.54	44109	60.09	40694	17.29	36981	56.58	48689	62.86	41110	33.56	35106	34.98	69857	75.20	29155	49.00	26392	17.45	52690	77.84	44947	46.40	45935	66.99	21037	58.89	39018	65.92	42070	39.38	33787	55.00	29044	 1.33	28292	45.95	30688	78.72	30348	27.44	66137	60.81	39507	39.93	34383	20.64	36494	78.09	67557	47.17	57839	74.63	43154	19.33	49061	55.44	35056	60.52	52577	62.19	41127	67.26	32603	29.55	35719	30.35	27534	48.14	35932	 4.81	48803	67.58	31383	61.55	12978	33.69	19970	25.62	21956	21.15	22278	21.36	24040	 1.88	41777	52.41	87873	83.07	50702	72.10	41686	63.77	20281	 0.23	20915	 0.13	20437	21.53	30150	61.00	22181	80.11	29285	95.67
lethal_CDH17::chr8:95246589-95246626	8	10	1159	10.44	7	71.43	2421	25.44	3497	32.31	1351	23.09	1744	24.14	2122	42.51	22	 0.00	15	13.33	1919	77.07	4009	20.00	1858	 2.69	2039	 8.73	3872	16.76	64	 0.00	1687	 1.66	3693	 6.34	1699	63.45	3315	 5.34	2398	30.44	1739	 1.90	1515	 8.98	1566	 6.45	37	72.97	10	30.00	2045	 6.01	3391	 7.55	4906	40.38	1666	70.95	1578	67.93	2037	52.63	3435	38.92	1956	33.23	1751	70.82	2911	 2.89	10	 0.00	2427	34.45	12	 8.33	3345	17.94	28	 7.14	2129	 6.67	1264	 2.61	4322	 8.10	2891	34.38	2013	42.28	3100	 4.23	2132	 2.95	2236	 4.79	4292	19.32	1397	12.38	21	33.33	8	12.50	1245	 2.65	1355	12.40	1463	 2.73	1983	13.36	2328	22.59	4725	14.98	2063	14.35	1500	11.07	1924	 3.43	1946	11.66	8	 0.00	11	 0.00	6035	 7.17	2237	17.93	10	 0.00	1904	10.19	4549	35.52	1964	28.36	48	50.00	4813	24.72	3166	19.93	46	 0.00	2214	51.31	12	50.00	4941	10.34	24	 0.00	4973	 0.84	4877	27.43	1324	40.56	6	 0.00	64	39.06	1337	 3.14	1468	 8.04	4697	 4.77	2108	33.44	3134	73.80	4243	23.71	1833	33.17	4891	 0.41	4521	 0.64	5002	26.11	5402	55.09	6819	77.61	6669	96.58
lethal_CDH17::chr8:95246589-95246626	10	12	1159	 8.63	7	71.43	2421	27.80	3497	29.71	1351	15.77	1744	14.91	2122	43.97	22	 0.00	15	 6.67	1919	67.38	4009	21.15	1858	 3.12	2039	12.36	3872	17.02	64	 0.00	1687	 2.55	3693	 7.55	1699	64.51	3315	 6.37	2398	60.59	1739	 2.99	1515	10.56	1566	 6.13	37	67.57	10	40.00	2045	 4.89	3391	10.94	4906	43.13	1666	73.17	1578	68.82	2037	53.26	3435	39.21	1956	49.13	1751	70.25	2911	 5.05	10	 0.00	2427	28.10	12	 8.33	3345	20.09	28	10.71	2129	 4.79	1264	 4.98	4322	 7.45	2891	55.07	2013	44.26	3100	 4.58	2132	 3.71	2236	 6.08	4292	20.43	1397	18.40	21	 0.00	8	12.50	1245	 2.25	1355	11.81	1463	 3.49	1983	12.56	2328	25.47	4725	22.10	2063	15.41	1500	12.87	1924	 4.78	1946	10.28	8	 0.00	11	 0.00	6035	 9.06	2237	19.00	10	20.00	1904	18.28	4549	32.42	1964	30.30	48	58.33	4813	26.08	3166	22.39	46	 0.00	2214	54.79	12	50.00	4941	13.94	24	 0.00	4973	 1.33	4877	40.19	1324	41.31	6	 0.00	64	31.25	1337	 3.59	1468	 8.45	4697	 3.83	2108	34.63	3134	67.01	4243	29.06	1833	33.44	4891	 0.88	4521	 0.86	5002	25.15	5402	55.07	6819	78.62	6669	96.96
lethal_CDH17::chr8:95246589-95246626	34	36	1159	 8.28	7	71.43	2421	16.98	3497	26.48	1351	24.35	1744	40.77	2122	55.70	22	 0.00	15	20.00	1919	75.35	4009	22.77	1858	 8.40	2039	 8.48	3872	14.44	64	 0.00	1687	 1.96	3693	 8.42	1699	64.45	3315	 8.33	2398	59.72	1739	 2.36	1515	 8.65	1566	 6.90	37	72.97	10	70.00	2045	 2.98	3391	 8.52	4906	43.44	1666	71.91	1578	66.92	2037	52.04	3435	36.56	1956	44.58	1751	69.90	2911	 5.50	10	10.00	2427	27.07	12	 8.33	3345	19.79	28	10.71	2129	 7.66	1264	 2.61	4322	 8.38	2891	15.98	2013	 5.07	3100	 6.68	2132	 2.58	2236	 4.52	4292	19.18	1397	22.26	21	 0.00	8	12.50	1245	 2.01	1355	15.20	1463	 3.62	1983	 9.13	2328	24.53	4725	18.65	2063	10.66	1500	 8.80	1924	 4.99	1946	14.65	8	37.50	11	27.27	6035	 7.62	2237	16.99	10	 0.00	1904	64.18	4549	34.80	1964	26.43	48	50.00	4813	24.85	3166	36.45	46	 0.00	2214	 6.37	12	33.33	4941	19.91	24	 0.00	4973	 1.15	4877	26.04	1324	44.49	6	 0.00	64	35.94	1337	 7.26	1468	 8.72	4697	 3.87	2108	16.08	3134	75.34	4243	39.03	1833	33.33	4891	 0.06	4521	 0.40	5002	24.47	5402	53.87	6819	75.95	6669	94.96
lethal_CDO1::chr5:115151646-115151703	2	4	2257	 9.48	6896	53.87	2515	 0.91	8878	74.44	2588	 1.97	5541	32.90	10017	64.29	6139	 2.83	5895	35.06	3114	 1.03	8468	39.66	15854	36.49	3367	19.81	6091	38.32	4547	 2.02	6188	54.82	15260	84.16	8782	80.23	2328	 2.36	11644	64.65	4645	22.97	8592	85.68	3395	 9.31	7786	 1.93	9326	55.50	9481	27.97	12271	85.49	5488	 1.79	12242	84.06	5459	86.83	8714	82.48	6895	60.96	7947	49.94	4151	79.88	4044	58.93	7566	55.51	8138	67.72	7447	77.24	3863	63.01	10623	72.50	10015	48.28	3474	54.43	5106	65.16	14009	69.81	4285	49.40	7808	 7.86	7281	59.69	7971	60.07	4405	33.73	5900	53.44	9131	16.90	3515	30.70	2754	 9.73	5599	45.99	6867	47.27	6672	41.40	2518	42.69	3489	 1.32	3347	 1.61	4750	55.87	3416	29.07	2813	25.24	1411	 6.38	2086	 6.04	7248	 4.07	8436	37.39	7502	57.73	7615	83.85	10209	28.41	7817	68.57	14305	65.46	6441	23.38	2518	 5.44	8455	56.03	3755	54.78	3267	16.71	7841	50.55	4023	52.30	4848	 1.82	4752	 1.77	1908	34.17	1398	20.67	1563	 1.02	3042	39.38	1614	14.75	2439	 2.54	5544	 5.28	26502	87.02	5916	 1.18	5259	39.46	12347	 0.31	33382	 1.58	32383	41.13	51796	65.51	38271	89.56	68352	98.15
lethal_CDO1::chr5:115151646-115151703	8	10	2257	19.58	6896	56.71	2515	 1.87	8878	75.96	2588	 1.24	5541	50.44	10017	79.68	6139	 6.61	5895	38.54	3114	 1.03	8468	42.42	15854	57.24	3367	24.71	6091	39.34	4547	 3.74	6188	56.92	15260	84.13	8782	79.12	2328	 3.44	11644	70.21	4645	26.44	8592	88.99	3395	14.37	7786	 1.41	9326	55.58	9481	28.88	12271	86.47	5488	 3.43	12242	86.53	5459	86.76	8714	85.43	6895	62.49	7947	62.73	4151	80.44	4044	70.08	7566	58.26	8138	79.81	7447	77.27	3863	66.11	10623	78.31	10015	48.74	3474	67.67	5106	65.39	14009	79.01	4285	45.11	7808	10.39	7281	61.86	7971	67.77	4405	38.43	5900	58.69	9131	30.19	3515	30.21	2754	14.31	5599	73.58	6867	50.69	6672	51.66	2518	49.64	3489	 1.58	3347	 3.56	4750	74.65	3416	36.53	2813	33.95	1411	 8.22	2086	13.52	7248	12.38	8436	44.19	7502	62.72	7615	84.71	10209	35.52	7817	81.51	14305	66.10	6441	31.00	2518	 6.67	8455	58.75	3755	54.78	3267	28.13	7841	51.42	4023	59.88	4848	 5.03	4752	 1.30	1908	37.05	1398	32.76	1563	 1.47	3042	49.84	1614	15.24	2439	 4.39	5544	 5.68	26502	86.80	5916	 1.98	5259	41.40	12347	 0.55	33382	 1.85	32383	41.03	51796	64.79	38271	89.95	68352	97.97
lethal_CDO1::chr5:115151646-115151703	10	12	2257	 8.29	6896	54.10	2515	 0.44	8878	70.51	2588	 0.73	5541	28.33	10017	71.93	6139	 0.57	5895	37.56	3114	 1.22	8468	37.79	15854	44.32	3367	16.13	6091	38.93	4547	 2.71	6188	56.40	15260	71.97	8782	78.63	2328	 1.20	11644	63.20	4645	16.15	8592	72.56	3395	 8.13	7786	 0.30	9326	54.43	9481	27.32	12271	84.02	5488	 1.51	12242	87.08	5459	87.21	8714	84.08	6895	59.74	7947	44.05	4151	81.06	4044	55.49	7566	57.56	8138	73.77	7447	74.03	3863	62.83	10623	77.57	10015	48.01	3474	47.87	5106	62.55	14009	69.91	4285	46.74	7808	 7.24	7281	60.50	7971	61.47	4405	37.16	5900	51.19	9131	18.97	3515	29.16	2754	11.11	5599	41.74	6867	46.03	6672	34.01	2518	42.37	3489	 0.54	3347	 0.81	4750	52.13	3416	26.46	2813	28.47	1411	 3.97	2086	 4.41	7248	 4.95	8436	43.47	7502	58.45	7615	82.25	10209	28.03	7817	71.95	14305	60.92	6441	18.43	2518	 2.98	8455	56.63	3755	55.63	3267	14.23	7841	47.28	4023	53.37	4848	 0.87	4752	 0.97	1908	34.80	1398	17.67	1563	 1.02	3042	47.17	1614	14.75	2439	 3.61	5544	 5.90	26502	86.01	5916	 2.45	5259	36.64	12347	 0.52	33382	 1.92	32383	41.71	51796	64.48	38271	89.72	68352	98.05
